moment,label
My 12 year old son gave me an unsolicited hug,affection
I completed an important project for work and it looks great!-I was so productive today. :),achievement
I have a newborn baby and she recently started turning and making some sounds which makes me happy.,affection
I was very happy when I opened the freezer to find that my husband had bought me my favorite ice cream.,affection
Watched the second season for one of my favourite shows.,leisure
I received the keys to my business' first office,achievement
Talking with my best friend for a few hours.,bonding
I was happy when I stepped on the scale this morning after the gym and saw I had lost 15.2 pounds since I started dieting 3 weeks ago.,achievement
I ATTENDED MY FRIEND SCHOOL ANNUAL DAY FUNCTION,bonding
My kids had a good time at their grandma's house and didn't act like psychopaths.,affection
The day with my pet,affection
"We went to my cousinas wedding. It was a lovely wedding very unlike any wedding Iave yet been to, but a lot like the weddings in the movies (you know, like The Wedding Crashersa| never understood why someone would *want* to go to a wedding they werenat invited to).  The ceremony was short and simple, though there were a lot of attendants, complete with flower girl and ring-bearer.  The bride had both her father and step-father give her away, one on each arm.  The Lutheran minister was kind of a jolly middle-aged woman.  The gentlemen were almost all in army dress uniforms.  From my cousinas face, you could not tell he was hit by a roadside bomb in Afghanistan just a few months ago.  Heas still not walking correctly and never may, but the damage seems to mainly be concentrated in one leg.

The wedding was in a part of the country where folks are not as stiff as Midwesterners or as unstructured as Northern Californians.  Iave been to Midwestern wedding receptions that tried to be like this reception, but the soul wasnat there so they always ended up being kind of lame with folks congregated in the parking lot to talk away from the DJ.  People at this wedding line-danced (and not just to country music) and they enjoyed it.  My usually introverted uncle is apparently a dancing fiend and led the bride in some traditional dances.  The food was great and full of local specialties (including something we heard about on the Splendid table from their road trip foodies).  And, important in my book for any wedding, they served appetizers between the wedding and reception.

You may recall that the groomas parents had said they refused to attend because he was not getting married by a priest.  Not only did they not show up, despite his being hit by a roadside bomb in service to our country, they did not allow any siblings to come.  The daughter whose college my parents and aunts are paying was threatened with being disowned when her mother found out she was planning to attend.  So she didnt go.  Guests kept asking if I was a sister.  No, not a sister.

But all of my aunts and uncles went, and I have a lot of aunts and uncles. It was funny to see all my uncles and my cousin and the characteristic ears of that side of the family.  The family resemblance is especially strong with military haircuts.  All my uncles are ex-military and they bonded with my cousinas army buddies.  Not much has changed in the army in the past 30-40 years.  SNAFUs still abound.  My aunts talked about how the world has changed and wondered if the homophobic father of the groom realized his favorite aunt (after whom one of his daughters is named) was a lesbian.  How nice it would have been if shead been around today and been able to share her relationship with her acompaniona out in the open.

They openly wondered what had happened to my unclea head always been rigid and never had a sense of humor, but wasnat such a hater until he married his wife.  Perhaps he could have been rigid and humorless for the powers of good if head married someone else.  Ironically, the woman he married and is refusing to countenance this wedding is a divorced mother of three| but the difference is that she got the Pope to annul that marriage, so somehow that made it ok.  There was some speculation that perhaps the bride is better off with her mother-in-law not talking to her.

My childless aunt and uncle took over duties of parents of the groom. The groom gave an especially moving speech about how grateful he was for his family to come and show the support they were showing.  The bride sent a lovely thank-you note with the same sentiments.  As the wedding party was breaking up for the folks having to catch planes, the bride and groom made plans to visit all of my aunts and uncles who live in interesting and accessible places.  My family does take care of its own, even when some members refuse to.

My cousin and his new wife are very nice people.  I know they will have a lifetime of happiness together.  And if their children and step-children are close with their great-aunts and uncles rather than their grandparents on my side of the family, well, that's not such a bad thing.",affection
MY BROTHER BIRTHDAY CELEBRATED IN MY HOUSE,affection
"An event that made me happy, last month, was when I went on a five-day Caribbean cruise with my wife. ",affection
I received a dark chocolate bar from one of my friends.,bonding
Had a relaxing afternoon playing with my kids.,affection
"It's never about the place. It's about the people you spend time with. I have never been much happier. Whenever I went to Tirupati and was traveling back to Bangalore, I felt like I had failed my most important exam, maybe I was missing a train. I cried like a small baby every time I left that place. This time it was different, this time I was happy. I was myself, my true self. Peace!",enjoy_the_moment
I went to a movie theater and saw a double feature of Guardians of the Galaxy 1 and 2.,leisure
"My happiest moment was when I gave birth to my son. After
nine long months of waiting to meet him, at last that day
came. I was just so happy, and its unexplainable",affection
I bought soylent and it was delivered,enjoy_the_moment
I took a class online that I really enjoyed,enjoy_the_moment
"In Last week we went for a Goa trip with my friends that time we enjoy a lot in that trip,total 4 days we are in Goa trip.",bonding
I am enjoy in eating variety of delicious food made by my daughter. We all had lunch together with great enthusiam,affection
I was given an extra project at work as a direct result of something I worked hard for.,achievement
"My daughter started walking, and has gotten much better in the past few days.",affection
I consoled a friend who was having   a hard time and made her feel a little better before the night was over.,bonding
Getting my wife's green card approval. ,achievement
I got out of an abusive relationship.,achievement
I visit ooty in summer days.,leisure
i am very happy in mobile game and playing cricket,leisure
"I was able to purchase my dream car for less than 1,000 dollars, a cadillac deville.",achievement
"My ex was home last night and didn't go to his girlfriend's house. Though I don't care if he's there, I slept well for the first time in a week. I guess I just got used to him being around.",affection
Dancing and drinking at the club on Saturday night,enjoy_the_moment
